,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
0,RT @JJKNewChapter: K-media reported: JUNGKOOK showed off his irresistible charm like a long-haired male god who descended in Qatar with daz,hus_imah,jeonjungkook_Love,,26,234,0,21976,Fri Nov 18 00:55:12 +0000 2022,1593407439503732736,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"K-media reported: JUNGKOOK showed off his irresistible charm like a long-haired male god who descended in Qatar with dazzling skin &amp; artistic features as he joined the #RunBTSchallenge!

JUNGKOOKs version of Run BTS went viral on Tiktok showing his super popularity &amp; influence. https://t.co/rJI4olSWLY",True,JJKNewChapter,JJKNewChapter,,9589.0,167.0,47.0,171.0,Fri Nov 18 00:24:35 +0000 2022,1.5933997362620948e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,1.0,12.0,81.0,176.0
1,"RT @NiftyLabsHQ: Launch #Collab #Giveaway for #Wristband

Wear your #Wristband and entry to the #Web3 #WorldCup #Campaign

Medium https:",chogue_crypto,chogue.bit | Web3 Space Supporter,"Mesa, AZ",383,2308,16,3289,Fri Nov 18 00:55:12 +0000 2022,1593407439772057601,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"Launch #Collab #Giveaway for #Wristband

Wear your #Wristband and entry to the #Web3 #WorldCup #Campaign

Medium https://t.co/8kXN8IXo0C
 
Soquest:https://t.co/873V7IwSHH

 Powered by @NiftyLabsHQ  @_p12_  @0xNawarat    @metaestate_com  @Port3Network https://t.co/qLT3DZva81",True,NiftyLabsHQ,NiftyConnect | Beta Test Coming,,9602.0,26.0,0.0,28.0,Thu Nov 17 05:02:00 +0000 2022,1.593107160677978e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,3.0,10.0,369.0,124.0
2,"RT @Jungkook__SNS: Jungkook shopping, dancing and relaxing in the market of Qatar. He's so happy https://t.co/6X5q18alXd",liebling_narmy,,Youniverse,26,64,1,129721,Fri Nov 18 00:55:13 +0000 2022,1593407443245023232,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Jungkook shopping, dancing and relaxing in the market of Qatar. He's so happy https://t.co/6X5q18alXd",True,Jungkook__SNS,Jungkook SNS,Turn on notifications!,61514.0,142.0,699.0,33091.0,Thu Nov 17 15:19:52 +0000 2022,1.593262652444246e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,431.0,109.0,2793.0,10573.0
3,"RT @aykook7bts: jungkook in Doha, Qatar today &lt;3
plz he's just the cutest and most adorable with every single detail 

WELCOME TO QATAR J",happyjkbam,happyjk,,29,13,0,16685,Fri Nov 18 00:55:13 +0000 2022,1593407444687982594,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"jungkook in Doha, Qatar today &lt;3
plz he's just the cutest and most adorable with every single detail 

WELCOME TO QATAR JUNGKOOK 
#JUNGKOOKIE #jungkook97 #jeonjungkook #JungkookInQatar #FIFAWorldCupQatar2022 #FIFAJUNGKOOK #JungkookAtFIFAWorldCup #doha_prince #Qatar2022 https://t.co/GdDUMSK6bl",True,aykook7bts,AyatFIFAKOOK,Iraq ,452.0,299.0,8.0,330352.0,Thu Nov 17 20:57:17 +0000 2022,1.593347566741201e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,18.0,2.0,219.0,866.0
4,"RT @nftworldcup: Hey Mondi fam! 

Time for a MASSIVE #GleamGiveaway  With our friends @WRLDCUP22 

Prizes:
1 FREE @WRLDCUP22 Airdrop",AnikH22,Joanna,Vietnam,29,692,0,2858,Fri Nov 18 00:55:14 +0000 2022,1593407448278134784,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Hey Mondi fam! 

Time for a MASSIVE #GleamGiveaway  With our friends @WRLDCUP22 

Prizes:
1 FREE @WRLDCUP22 Airdrop
35 $MATIC
50 MONDI Whitelist spots
30 WRLD CUP 22 Whitelist spots

 To Enter:

https://t.co/Q5XpkM4bYw

72 Hours

#NFTs #WorldCup2022
",True,nftworldcup,Mondi  NFT,Metaverse,22635.0,51.0,2.0,270.0,Thu Nov 17 18:59:28 +0000 2022,1.5933179158220227e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0.0,62.0,129.0,123.0
5,"RT @RoadQatar_WC: Our Airdrop is live!

Participate in our Airdrop and earn to  2200 ROAD (~$5) tokens for doing tasks.

Airdrop: 
https:/",RebecaTrotter,Rebeca Trotter,,0,68,0,48,Fri Nov 18 00:55:14 +0000 2022,1593407449729363968,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"Our Airdrop is live!

Participate in our Airdrop and earn to  2200 ROAD (~$5) tokens for doing tasks.

Airdrop: 
https://t.co/dHYEqurSLV

Airdrop token rewards will be distributed to your wallet address on December 18th.

#Airdrop #Giveaway #RoadQatar #Qatar #WolrdCup https://t.co/GPQkZkZtfB",True,RoadQatar_WC,Road Qatar,"Doha, Qatar",15138.0,33.0,2.0,45.0,Wed Nov 16 12:59:18 +0000 2022,1.5928648882628895e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,1051.0,1526.0,7161.0,7115.0
6,"Ok, this is actually the best news to come out of this World Cup yet.",ABarnesandnoble,Alex Barnes,PNW,242,559,11,22162,Fri Nov 18 00:55:14 +0000 2022,1593407450006577154,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
7,"@DonaldJTrumpJr The adviser of Amir of Qatar on official Qatar TV threatens to kill tens of thousands of peaceful Qatari protesters using illegal &amp; banned chemical weapons.
#BoycottQatar #BoycottQatar2022 #BoycottWorldCup 
https://t.co/RITfdbbecp",Free_Libyan2022,Free Libyan,,1087,1166,1,177537,Fri Nov 18 00:55:15 +0000 2022,1593407451289636864,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
8,"RT @sarahpromos: $250 ~ 48 Hours 

$125
- RT &amp; RT Quoted Tweet Below 

+$125
Sign up: https://t.co/rN3KTDW63L
( Proof )

----------
 Tra",miracle4mee,Ard Freetag,unknown,79,2397,1,1356,Fri Nov 18 00:55:15 +0000 2022,1593407452313444352,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"$250 ~ 48 Hours 

$125
- RT &amp; RT Quoted Tweet Below 

+$125
Sign up: https://t.co/rN3KTDW63L
( Proof )

----------
 Trade #Contracts &amp; #Options on #Bybit

 Score Trading Goals &amp; Share a 500000 #USDT Prize Pool!
 Enter the #luckydraw and win 1000 Mystery #NFTs!",True,sarahpromos,Sarah Crypto ,,708568.0,171.0,1001.0,227.0,Thu Nov 17 08:19:55 +0000 2022,1.5931569692838584e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,7.0,997.0,2551.0,578.0
9,RT @Jahan_Travel: https://t.co/1FxQiRM66c. Jahan_Travels your guid in #Azerbijan #Baku #Qatar2022 #FIFAWorldCupQatar2022 https://t.co/qz2Gk,Jahan_Travel,Jahan_travel_baku,"Riyadh, Kingdom of Saudi Arabia",3700,117,0,22,Fri Nov 18 00:55:15 +0000 2022,1593407453332480000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,https://t.co/1FxQiRM66c. Jahan_Travels your guid in #Azerbijan #Baku #Qatar2022 #FIFAWorldCupQatar2022 https://t.co/qz2GkBZ36v,True,Jahan_Travel,Jahan_travel_baku,"Riyadh, Kingdom of Saudi Arabia",3700.0,117.0,0.0,22.0,Fri Nov 18 00:54:51 +0000 2022,1.5934073520274473e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0.0,0.0,1.0,0.0
